"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"46001",1,226,NA,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NA,16,16,73,NA,NA,253,253,253,253,253,253,253,253,253,NA,58,58,58,58,58,58,58,58
"46002",NA,NA,NA,23,271,271,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46003",1,226,16,16,48,271,190,NA,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
"46004",NA,NA,NA,NA,16,16,108,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NA,16,16,16,NA,NA,NA,NA
"46005",NA,NA,NA,NA,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
"46006",207,207,207,207,207,207,207,207,207,207,200,193,193,25,25,25,25,25,108,119,NA,33,185,185,185,185,185,185,198,185,198,198,198,83,83,140,140,94,140,140,140,140,140,156,156
"46007",NA,223,223,223,223,223,NA,223,223,25,25,25,NA,25,NA,25,25,25,NA,25,25,25,NA,NA,55,55,55,55,55,NA,70,70,70,70,70,70,70,70,70,70,292,292,NA,292,292
"46008",159,159,159,159,186,186,186,186,186,186,25,25,25,25,25,25,NA,16,16,25,70,70,70,70,70,NA,70,70,70,70,70,70,70,70,70,70,70,70,70,70,292,292,NA,288,288
"46009",179,226,179,65,24,24,24,NA,NA,25,25,16,16,16,16,16,16,16,16,108,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NA,16,16,16,NA,NA,16,NA
"46010",64,64,64,64,64,64,64,64,64,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46011",NA,20,16,NA,16,78,78,78,78,25,25,25,25,25,25,25,152,91,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,94,140,140,140,140,140,157,156
"46012",NA,NA,272,272,272,272,272,272,272,272,272,272,NA,272,16,272,NA,NA,NA,249,NA,NA,NA,272,272,272,272,272,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
"46013",207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,214,214
"46014",NA,271,161,161,161,161,108,161,161,25,4,4,4,4,70,28,214,16,67,108,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
"46015",NA,275,275,275,275,275,NA,275,275,275,NA,275,275,275,275,28,214,91,16,69,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
"46016",208,208,208,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
"46017",208,208,208,108,108,108,108,108,108,134,134,134,134,134,134,NA,16,16,16,69,69,69,69,69,69,69,69,198,69,69,69,198,198,218,218,218,218,218,218,74,74,61,61,61,61
"46018",48,46,46,46,NA,4,4,4,4,137,137,134,134,NA,181,NA,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,NA,NA,NA,279,279,279,279,279,279
"46019",207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,292,NA,NA
"46020",NA,NA,16,107,107,107,99,108,108,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,120,292,284,NA,82,284,284,284,284,284,292,284,284,284,NA,284,284,284
"46021",226,226,16,164,164,164,164,207,207,207,207,207,207,207,214,193,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,69,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46022",207,207,NA,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,221,221,221
"46023",226,226,NA,NA,3,3,108,108,108,193,193,193,193,193,193,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46024",18,NA,16,16,16,16,16,16,16,16,NA,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NA,NA,NA,NA,NA,NA
"46025",18,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,NA,NA,88,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46026",2,2,2,2,2,2,2,131,3,3,3,3,3,3,3,3,3,3,3,3,69,69,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46027",207,207,NA,16,267,267,267,267,267,267,193,193,193,193,193,193,NA,NA,85,NA,NA,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,NA
"46028",207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,156,NA
"46029",17,17,17,17,17,17,17,17,17,17,17,17,NA,16,141,16,16,16,16,108,16,16,16,16,16,16,16,141,NA,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
"46030",NA,16,148,148,3,235,235,235,268,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,285,42,42,42,42,45,42,42
"46031",148,148,148,148,267,227,131,131,131,108,27,27,NA,16,28,NA,16,16,16,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,94,140,140,140,140,140,NA,266
"46032",NA,NA,NA,90,90,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
"46033",NA,NA,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,NA,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
"46034",48,48,48,48,48,191,191,191,191,191,191,191,191,191,191,NA,140,140,132,132,NA,132,132,NA,140,140,140,140,140,140,140,140,NA,NA,NA,285,NA,172,172,172,172,172,172,172,172
"46035",222,222,222,222,222,222,222,222,222,NA,193,NA,193,193,193,16,16,16,16,69,16,16,16,16,16,16,102,102,102,102,102,NA,102,102,102,285,285,81,81,81,81,81,81,81,81
"46036",224,163,163,NA,271,98,192,NA,163,163,192,101,101,101,101,101,101,101,101,69,69,69,69,69,69,69,69,198,69,69,69,203,203,203,203,203,203,203,172,172,172,172,172,172,172
"46037",226,NA,NA,107,3,98,98,98,192,192,192,101,101,101,101,101,101,101,101,69,69,69,69,69,69,69,69,198,NA,69,69,198,198,198,198,198,198,81,81,81,81,81,81,81,81
"46038",207,207,207,207,207,222,222,222,222,NA,207,207,207,207,207,207,16,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,45,45
"46039",86,86,86,86,86,86,86,86,86,86,86,139,25,NA,NA,28,280,214,108,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,265,NA,31
"46040",NA,NA,NA,211,211,211,211,211,211,211,139,139,80,NA,211,NA,193,214,184,183,158,158,158,NA,158,NA,NA,NA,198,198,198,198,198,198,203,203,203,203,203,203,203,203,203,203,203
"46041",86,86,86,189,NA,232,3,3,6,6,6,6,6,6,6,6,6,6,6,31,6,31,6,6,NA,6,6,6,6,6,6,6,203,204,204,204,204,204,204,292,204,NA,204,204,204
"46042",271,271,NA,271,271,271,271,NA,6,6,6,6,6,6,6,6,6,6,6,NA,6,69,6,6,6,6,6,NA,6,6,6,6,127,127,198,198,198,198,198,198,198,198,198,198,198
"46043",NA,158,NA,NA,NA,207,207,207,207,6,6,6,6,6,6,6,6,6,6,158,6,158,6,6,NA,6,6,6,6,6,6,6,198,198,198,198,198,198,198,198,198,198,198,198,198
"46044",222,222,222,222,222,222,222,222,222,NA,193,NA,193,193,193,16,280,NA,NA,69,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"46045",NA,63,NA,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46046",87,87,NA,87,87,87,87,87,274,63,274,274,274,274,274,274,274,274,274,274,274,274,274,NA,274,NA,274,NA,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
"46047",207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,246,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,198,156,156
"46048",271,271,271,16,271,271,271,108,108,108,25,25,25,213,25,25,25,NA,16,171,171,171,171,171,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,119,119,119,119
"46049",271,271,271,16,271,271,NA,2,2,2,NA,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46050",18,226,48,NA,271,271,NA,108,108,108,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,198,198,198,198,198,198,198,198,NA,198,198,198,198,157,NA
"46052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,190,190,190,190,NA,190,190,190,190,190,190,190,190
"46053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,NA,16,16,16,16,NA,16,16,16,NA,156,156,156
