"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"46001",7,10,NA,8,2,12,9,4,5,4,6,6,3,5,5,7,3,7,5,4,1,NA,7,4,2,NA,NA,4,5,6,6,4,4,5,9,5,NA,6,7,5,2,2,2,7,6
"46002",NA,NA,NA,0,5,8,6,8,2,4,4,4,2,6,7,8,6,4,4,4,3,5,1,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46003",16,32,20,11,16,18,9,NA,13,11,8,8,9,10,4,6,9,13,7,12,11,10,8,12,14,9,10,10,10,16,10,17,12,10,11,14,12,13,11,10,9,15,10,13,12
"46004",NA,NA,NA,NA,14,5,0,6,6,3,11,5,7,5,5,10,18,19,16,19,10,15,17,16,20,20,15,22,23,21,17,12,6,10,21,15,13,NA,15,7,13,NA,NA,NA,NA
"46005",NA,NA,NA,NA,1,5,1,1,2,2,2,1,1,3,1,1,1,1,1,0,1,2,2,2,1,5,3,2,4,1,2,3,5,4,5,4,5,3,2,3,3,4,3,0,3
"46006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"46007",NA,1,0,0,0,0,NA,0,0,2,4,6,NA,6,NA,2,2,5,NA,0,4,3,NA,NA,3,7,4,4,3,NA,6,8,7,14,13,9,18,10,12,10,9,15,NA,8,7
"46008",5,3,6,4,4,1,1,1,1,5,3,2,0,4,3,6,NA,2,3,5,3,2,2,6,5,NA,6,8,9,4,9,8,10,5,5,10,8,8,10,2,5,1,NA,6,5
"46009",0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,NA,NA,1,NA
"46010",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46011",NA,1,0,NA,0,0,0,2,5,0,1,2,0,2,2,1,2,0,2,0,1,0,0,0,0,0,0,2,2,2,6,1,5,2,4,2,3,5,2,1,2,0,1,0,0
"46012",NA,NA,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013",0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,1,0,2,1,2,2,5,1,1,1,1,3,2,3,4,2
"46014",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,3,1,3,4,2,3,1,3,4,4,4,1,3,3,1,3
"46015",NA,2,2,3,1,1,NA,1,0,3,NA,2,0,1,1,3,2,3,0,1,5,3,2,4,1,3,5,2,5,7,3,5,7,6,5,7,8,3,5,8,11,11,7,7,3
"46016",0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,2,2,0,1,2,1,0,0,1,2,2,1,0,0,1,2,0,0,1,1,0,0,2,0,2,2,2,2,3,3
"46017",1,3,3,3,2,1,2,1,2,2,2,3,3,2,2,NA,3,2,2,1,2,2,0,1,2,3,3,1,8,7,6,7,9,2,3,2,2,4,2,1,7,6,8,4,4
"46018",0,0,1,0,NA,3,0,1,0,0,0,2,1,NA,1,NA,0,5,2,1,2,0,2,0,0,1,0,1,0,0,1,3,4,0,2,0,NA,NA,NA,2,2,1,2,0,1
"46019",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,2,3,1,2,2,1,2,5,0,0,NA,NA
